Time,Open,High,Low,Close,Volume
2022-09-22 14:05:00,142.352,142.38,142.342,142.346,465
2022-09-22 14:10:00,142.344,142.362,142.3,142.354,533
2022-09-22 14:15:00,142.358,142.378,142.322,142.346,411
2022-09-22 14:20:00,142.348,142.356,142.312,142.322,300
2022-09-22 14:25:00,142.322,142.355,142.292,142.294,427
2022-09-22 14:30:00,142.294,142.314,142.273,142.312,406
2022-09-22 14:35:00,142.31,142.332,142.288,142.323,369
2022-09-22 14:40:00,142.313,142.356,142.3,142.356,174
2022-09-22 14:45:00,142.356,142.424,142.355,142.424,284
2022-09-22 14:50:00,142.422,142.454,142.392,142.418,481
2022-09-22 14:55:00,142.422,142.507,142.414,142.493,449
2022-09-22 15:00:00,142.49,142.49,142.4,142.442,607
2022-09-22 15:05:00,142.437,142.438,142.344,142.364,394
2022-09-22 15:10:00,142.36,142.424,142.358,142.421,374
2022-09-22 15:15:00,142.42,142.429,142.394,142.428,338
2022-09-22 15:20:00,142.426,142.432,142.392,142.427,389
2022-09-22 15:25:00,142.427,142.464,142.324,142.334,514
2022-09-22 15:30:00,142.316,142.364,142.278,142.351,706
2022-09-22 15:35:00,142.346,142.349,142.3,142.31,296
2022-09-22 15:40:00,142.308,142.322,142.282,142.303,331
2022-09-22 15:45:00,142.302,142.335,142.284,142.327,379
2022-09-22 15:50:00,142.33,142.365,142.33,142.352,411
2022-09-22 15:55:00,142.351,142.368,142.334,142.354,316
2022-09-22 16:00:00,142.353,142.373,142.348,142.362,227
2022-09-22 16:05:00,142.362,142.405,142.356,142.404,459
2022-09-22 16:10:00,142.404,142.404,142.35,142.35,120
2022-09-22 16:15:00,142.353,142.379,142.327,142.376,164
2022-09-22 16:20:00,142.376,142.416,142.374,142.416,220
2022-09-22 16:25:00,142.415,142.436,142.355,142.355,227
2022-09-22 16:30:00,142.354,142.39,142.344,142.37,170
2022-09-22 16:35:00,142.37,142.388,142.349,142.354,327
2022-09-22 16:40:00,142.356,142.366,142.316,142.356,247
2022-09-22 16:45:00,142.354,142.39,142.343,142.378,191
2022-09-22 16:50:00,142.377,142.421,142.377,142.398,211
2022-09-22 16:55:00,142.402,142.416,142.387,142.387,137
2022-09-22 17:00:00,142.359,142.384,142.354,142.376,5
2022-09-22 17:10:00,142.371,142.373,142.35,142.35,8
2022-09-22 17:15:00,142.35,142.371,142.35,142.371,706
2022-09-22 17:20:00,142.37,142.38,142.363,142.378,1173
2022-09-22 17:25:00,142.377,142.38,142.375,142.379,1219
2022-09-22 17:30:00,142.377,142.386,142.374,142.382,513
2022-09-22 17:35:00,142.38,142.412,142.38,142.388,27
2022-09-22 17:40:00,142.388,142.388,142.388,142.388,2
2022-09-22 17:45:00,142.388,142.392,142.378,142.384,897
2022-09-22 17:50:00,142.388,142.399,142.36,142.367,691
2022-09-22 17:55:00,142.361,142.395,142.338,142.349,1078
2022-09-22 18:00:00,142.341,142.42,142.341,142.38,354
2022-09-22 18:05:00,142.378,142.486,142.378,142.46,144
2022-09-22 18:10:00,142.464,142.594,142.464,142.56,300
2022-09-22 18:15:00,142.558,142.57,142.474,142.486,356
2022-09-22 18:20:00,142.488,142.496,142.322,142.401,469
2022-09-22 18:25:00,142.408,142.496,142.395,142.482,225
2022-09-22 18:30:00,142.48,142.504,142.392,142.426,284
2022-09-22 18:35:00,142.434,142.468,142.396,142.465,206
2022-09-22 18:40:00,142.468,142.476,142.402,142.46,191
2022-09-22 18:45:00,142.463,142.484,142.402,142.425,238
2022-09-22 18:50:00,142.422,142.444,142.394,142.43,159
2022-09-22 18:55:00,142.432,142.452,142.412,142.44,119
2022-09-22 19:00:00,142.442,142.506,142.353,142.4,266
2022-09-22 19:05:00,142.401,142.426,142.343,142.365,384
2022-09-22 19:10:00,142.366,142.406,142.318,142.344,258
2022-09-22 19:15:00,142.34,142.377,142.321,142.363,291
2022-09-22 19:20:00,142.365,142.424,142.342,142.386,370
2022-09-22 19:25:00,142.387,142.396,142.298,142.302,418
2022-09-22 19:30:00,142.3,142.345,142.288,142.339,290
2022-09-22 19:35:00,142.336,142.338,142.326,142.334,171
2022-09-22 19:40:00,142.334,142.418,142.333,142.363,197
2022-09-22 19:45:00,142.363,142.396,142.332,142.352,289
2022-09-22 19:50:00,142.35,142.359,142.318,142.348,259
2022-09-22 19:55:00,142.348,142.375,142.248,142.276,291
2022-09-22 20:00:00,142.274,142.306,142.173,142.25,829
2022-09-22 20:05:00,142.255,142.3,142.194,142.242,437
2022-09-22 20:10:00,142.243,142.319,142.243,142.304,428
2022-09-22 20:15:00,142.3,142.408,142.296,142.406,432
2022-09-22 20:20:00,142.407,142.45,142.364,142.372,505
2022-09-22 20:25:00,142.374,142.38,142.303,142.342,462
2022-09-22 20:30:00,142.342,142.37,142.308,142.343,520
2022-09-22 20:35:00,142.343,142.345,142.2,142.242,481
2022-09-22 20:40:00,142.244,142.28,142.216,142.234,548
2022-09-22 20:45:00,142.236,142.246,142.154,142.242,675
2022-09-22 20:50:00,142.246,142.276,142.192,142.224,619
2022-09-22 20:55:00,142.227,142.227,142.056,142.116,746
2022-09-22 21:00:00,142.114,142.168,142.076,142.116,543
2022-09-22 21:05:00,142.118,142.158,142.072,142.085,477
2022-09-22 21:10:00,142.086,142.101,141.822,141.86,1141
2022-09-22 21:15:00,141.86,141.931,141.803,141.814,819
